Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20211216,Kansas City Chiefs,34,Los Angeles Chargers,28,Kansas City Chiefs -3.0,52.5 (over),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Michael Dolce,Back Judge Dino Paganelli,Side Judge Dave Hawkshaw,Field Judge Dyrol Prioleau
20211218,New England Patriots,17,Indianapolis Colts,27,Indianapolis Colts -2.5,45.5 (under)
20211219,Carolina Panthers,14,Buffalo Bills,31,Buffalo Bills -14.5,43.0 (over),Referee Clete Blakeman,Umpire Tab Slaughter,Down Judge Dana McKenzie,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Clay Reynard,Field Judge Scott Edwards
20211219,Arizona Cardinals,12,Detroit Lions,30,Arizona Cardinals -13.0,48.0 (under),Referee Land Clark,Umpire Paul King,Down Judge Tom Stephan,Line Judge Brian Bolinger,Back Judge Greg Meyer,Side Judge Anthony Flemming,Field Judge Michael Banks
20211219,Houston Texans,30,Jacksonville Jaguars,16,Jacksonville Jaguars -6.0,40.0 (over),Referee Alex Kemp,Umpire Rich Hall,Down Judge Mike Carr,Line Judge Jeff Bergman,Back Judge Scott Helverson,Side Judge Dale Shaw,Field Judge John Jenkins
20211219,New York Jets,24,Miami Dolphins,31,Miami Dolphins -10.0,42.0 (over),Referee Ron Torbert,Umpire Mark Pellis,Down Judge Kevin Codey,Line Judge Mark Steinkerchner,Back Judge Tony Josselyn,Side Judge Keith Washington,Field Judge Ryan Dickson
20211219,Dallas Cowboys,21,New York Giants,6,Dallas Cowboys -11.5,43.5 (under),Referee Jerome Boger,Umpire Barry Anderson,Down Judge Frank LeBlanc,Line Judge Rusty Baynes,Back Judge Steve Patrick,Side Judge Jonah Monroe,Field Judge Steve Zimmer
20211219,Tennessee Titans,13,Pittsburgh Steelers,19,Pittsburgh Steelers -1.0,44.0 (under),Referee Brad Rogers,Umpire Carl Paganelli,Down Judge Kent Payne,Line Judge Tom Eaton,Back Judge Greg Steed,Side Judge Dominique Pender,Field Judge Aaron Santi
20211219,Green Bay Packers,31,Baltimore Ravens,30,Green Bay Packers -9.5,45.0 (over),Referee Brad Allen,Umpire Bruce Stritesky,Down Judge Danny Short,Line Judge Daniel Gallagher,Back Judge Greg Yette,Side Judge Boris Cheek,Field Judge Rick Patterson
20211219,Cincinnati Bengals,15,Denver Broncos,10,Denver Broncos -3.0,44.0 (under),Referee Adrian Hill,Umpire Roy Ellison,Down Judge David Oliver,Line Judge Mark Stewart,Back Judge Keith Ferguson,Side Judge Jim Quirk,Field Judge Mearl Robinson
20211219,Atlanta Falcons,13,San Francisco 49ers,31,San Francisco 49ers -8.5,48.0 (under),Referee Clay Martin,Umpire Fred Bryan,Down Judge Jerod Phillips,Line Judge Maia Chaka,Back Judge Greg Wilson,Side Judge Joe Larrew,Field Judge James Coleman
20211219,New Orleans Saints,9,Tampa Bay Buccaneers,0,Tampa Bay Buccaneers -11.5,45.5 (under),Referee John Hussey,Umpire Alan Eck,Down Judge Sarah Thomas,Line Judge Carl Johnson,Back Judge Brad Freeman,Side Judge Allen Baynes,Field Judge Jabir Walker
20211220,Las Vegas Raiders,16,Cleveland Browns,14,Cleveland Browns -3.0,41.0 (under),Referee Craig Wrolstad,Umpire Steve Woods,Down Judge Jim Mello,Line Judge Tripp Sutter,Back Judge Grantis Bell,Side Judge Gary Cavaletto,Field Judge Terry Brown
20211220,Minnesota Vikings,17,Chicago Bears,9,Minnesota Vikings -6.5,44.5 (under),Referee Scott Novak,Umpire Ramon George,Down Judge Derick Bowers,Line Judge Walt Coleman,Back Judge Terrence Miles,Side Judge David Meslow,Field Judge Greg Gautreaux
20211221,Washington Football Team,17,Philadelphia Eagles,27,Philadelphia Eagles -6.5,42.0 (over),Referee Tony Corrente,Umpire Dan Ferrell,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Don Willard,Field Judge Anthony Jefferies
20211221,Seattle Seahawks,10,Los Angeles Rams,20,Los Angeles Rams -7.0,46.0 (under),Referee Shawn Hochuli,Umpire Terry Killens,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Tom Hill
